vids freq
SWE_2 0.001766
SWE_2 0.001766
SWE_2 0.001766
SWE_2 0.006734
SWE_2 0.014493
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.002826
SWE_2 0.003544
SWE_2 0.000353
SWE_2 0.000883
SWE_2 0.000883
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.003179
SWE_2 0.001413
SWE_2 0.010255
SWE_2 0.000706
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.001413
SWE_2 0.009536
SWE_2 0.009536
SWE_2 0.003002
SWE_2 0.003002
SWE_2 0.001584
SWE_2 0.001584
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.001071
SWE_2 0.001413
SWE_2 0.000530
SWE_2 0.000530
SWE_2 0.001425
SWE_2 0.012727
SWE_2 0.010608
SWE_2 0.006369
SWE_2 0.003885
SWE_2 0.002826
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.002119
SWE_2 0.002119
SWE_2 0.006899
SWE_2 0.006899
SWE_2 0.006346
SWE_2 0.004968
SWE_2 0.001060
SWE_2 0.001060
SWE_2 0.001425
SWE_2 0.000706
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.001060
SWE_2 0.010973
SWE_2 0.009183
SWE_2 0.002655
SWE_2 0.002655
SWE_2 0.015894
SWE_2 0.011314
SWE_2 0.008489
SWE_2 0.003179
SWE_2 0.003179
SWE_2 0.003885
SWE_2 0.003885
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.001943
SWE_2 0.001943
SWE_2 0.003885
SWE_2 0.007429
SWE_2 0.013092
SWE_2 0.005121
SWE_2 0.005121
SWE_2 0.015553
SWE_2 0.013092
SWE_2 0.014140
SWE_2 0.012021
SWE_2 0.004603
SWE_2 0.002125
SWE_2 0.002125
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.000353
SWE_2 0.000883
SWE_2 0.000883
SWE_2 0.001413
SWE_2 0.003191
SWE_2 0.001413
SWE_2 0.001425
SWE_2 0.001766
SWE_2 0.000353
SWE_2 0.008477
SWE_2 0.008477
SWE_2 0.027208
SWE_2 0.013080
SWE_2 0.004592
SWE_2 0.001766
SWE_2 0.001766
SWE_2 0.003179
SWE_2 0.002119
SWE_2 0.001060
SWE_2 0.000177
SWE_2 0.000177
SWE_2 0.000353
SWE_2 0.000353
SWE_2 0.000706
SWE_2 0.000177
